 Time (m),16%,8%,4%,2%
0,0,0,0,0
5,0.0045,0.001,0,0.0005
10,0.0165,0.0045,0.001,0.001
17,0.0415,0.0135,0.0025,0.002
24,0.0705,0.025,0.005,0.003
31,0.106,0.037,0.008,0.004
38,0.145,0.0505,0.012,0.005
45,0.1865,0.0665,0.0165,0.0065
52,0.2205,0.0835,0.0215,0.008
60,0.257,0.1005,0.0285,0.0105
