 Time (m),16%,8%,4%,2%
0,0,0,0,0
2,0.04715,0.01045,0.003,0.0002
5,0.14125,0.03895,0.006,0.00055
8,0.20715,0.07185,0.01,0.00125
13,0.29745,0.1218,0.0155,0.0021
19,0.38015,0.17655,0.0245,0.00385
25,0.4461,0.222,0.034,0.0056
31,0.5002,0.2599,0.045,0.0076
38,0.54025,0.3025,0.0575,0.0095
45,0.5763,0.34025,0.0745,0.01175
52,0.60335,0.3782,0.09,0.01275
60,0.63385,0.4167,0.1115,0.01425
